filename	category	featured_order	title	description	techniques
g-colors.bas	Drawing, color, and coordinate primitives		Color Formats	Documents supported color syntaxes with labeled swatches.	INK and PAPER;RGB;named colors
g-demo2.bas	Drawing, color, and coordinate primitives		Circle Fill Test	Tiny random circle-and-fill drawing test.	CIRCLE;FILL;RND
g-demo3.bas	Drawing, color, and coordinate primitives		Filled Primitive Benchmark	Random filled circles and rectangles benchmark primitives.	FCIRCLE;FRECTANGLE;FRAME
g-demo4.bas	Drawing, color, and coordinate primitives		Triangle Benchmark	Random filled triangles benchmark rasterization.	FTRIANGLE;RND;FRAME
g-line.bas	Drawing, color, and coordinate primitives		Bouncing Line	Bouncing rotating line exercises relative origin changes.	ORIGIN;DRAW;animation
g-mask.bas	Drawing, color, and coordinate primitives		Line Masks	Four line patterns demonstrate binary drawing masks.	MASK;DRAW;binary patterns
g-origin2.bas	Drawing, color, and coordinate primitives		Viewport Clipping Test	Random shapes are clipped to a custom viewport.	ORIGIN;clipping;filled primitives
g-palette.bas	Drawing, color, and coordinate primitives		Indexed Palette Grid	Displays all 32 indexed colors in a grid.	FILL;LOCATE;indexed colors
g-relative.bas	Drawing, color, and coordinate primitives		Relative Drawing	Short path demonstrates relative moves and draws.	DRAWR;MOVER;named colors
g-width.bas	Drawing, color, and coordinate primitives		Pen Widths	Compares pen widths on lines and overlapping points.	PENWIDTH;DRAW;PLOT
g-banner.bas	Text and typography		Character Banner	Rebuilds AVL BASIC as a large character banner.	LABEL;TEST;GPRINT
g-chartest.bas	Text and typography		Character Set Test	Exercises accented glyphs, symbols, fonts, and transparency.	Unicode text;font modes;transparency
g-chartest2.bas	Text and typography		Text Stress Test	Randomly places Spanish labels as a text stress test.	LABEL;RND;FRAME
g-ldir.bas	Text and typography		Text Direction Test	Places sample labels at many text directions.	LDIR;LABEL;GPRINT
g-ldir2.bas	Text and typography		Circular Text	Arranges a copyright string around a circle.	LDIR;trigonometry;LABEL
g-ldir3.bas	Text and typography		Rotating Text Ring	Animates one rotating ring of directional text.	LDIR;offscreen rendering;FRAME
g-ldir4.bas	Text and typography		Double Text Ring	Animates two concentric rings of directional text.	LDIR;offscreen rendering;FRAME
g-ldirt.bas	Text and typography		Text Ring Benchmark	Times repeated rendering of one rotating text ring.	LDIR;timing;FRAME
g-ldirt2.bas	Text and typography		Double Ring Benchmark	Times repeated rendering of two rotating text rings.	LDIR;timing;FRAME
g-locate.bas	Text and typography		Cursor and Font Test	Mixes font sizes, cursor positions, and labels.	LOCATE;font modes;LABEL
g-strings.bas	Text and typography		Colored Text Modes	Compares colored opaque and transparent text output.	INK and PAPER;font modes;LABEL
g-text.bas	Text and typography		Substring Text Scroll	Scrolls numeric text by changing its substring offset.	GPRINT;MID$;font modes
g-usflag.bas	Text and typography		Text-Cell Flag	Draws a text-cell United States flag.	LOCATE;GPRINT;PAPER
g-animation.bas	Sprites, images, and frame animation		3D Plot Animation	Plays pre-rendered 3D plot frames from PNG files.	BLOAD;SCREEN;FRAME
g-animation2.bas	Sprites, images, and frame animation		Tree Growth Animation	Ping-pongs pre-rendered tree-growth PNG frames.	BLOAD;ping-pong playback;FRAME
g-animation3.bas	Sprites, images, and frame animation		Moving Light Animation	Loops pre-rendered moving-light PNG frames.	BLOAD;SCREEN;FRAME
g-balls.bas	Sprites, images, and frame animation	14	Colliding Balls	Fifty numbered sprites bounce and collide without full clears.	sprite collisions;dirty redraw;COLMODE
g-sprite.bas	Sprites, images, and frame animation		Sprite Transparency	Captures and redraws one sprite with transparency variants.	SPRITE$;SPRITE;transparency
g-sprite2.bas	Sprites, images, and frame animation		Scaled Sprite Transparency	Repeats sprite transparency inside a scaled viewport.	SPRITE$;ORIGIN;transparency
g-sprite3.bas	Sprites, images, and frame animation		Sprite Benchmark	Benchmarks many randomly placed transparent sprites.	SPRITE$;RND;FRAME
g-sprite4.bas	Sprites, images, and frame animation		Draggable Sprite	Drags a sprite while restoring its captured background.	mouse events;background capture;SPRITE
g-sprite5.bas	Sprites, images, and frame animation		Collision Modes	Demonstrates both color and sprite collision modes.	COLMODE;HITTEST;HITID
g-swap.bas	Sprites, images, and frame animation		Graphics Buffer Swap	Benchmarks swapping two full-screen graphics buffers.	BLOAD;SCREEN;SWAP
g-inkey.bas	Input, events, and timing		Graphical Key Codes	Displays graphical key input and numeric codes.	INKEY$;ASC;graphics console
g-input.bas	Input, events, and timing		Graphics Input Form	Collects name and age through graphical input fields.	GINPUT;GPRINT;PAUSE
g-mouse.bas	Input, events, and timing		Mouse Rectangle	Draws rectangles from mouse press-and-release events.	ON MOUSE;event callbacks;FRECTANGLE
g-mouse2.bas	Input, events, and timing		Mouse Freehand Drawing	Freehand drawing follows mouse drag events.	LEFTDRAG;MASK;DRAW
inkey.bas	Input, events, and timing		Console Key Codes	Displays console key input and numeric codes.	INKEY$;ASC;console input
interrupts.bas	Input, events, and timing		Scheduled Guessing Game	Scheduled callbacks race to guess a random letter.	EVERY;AFTER;callbacks
g-subsample.bas	Console algorithms and language features		Local Scope Example	Demonstrates DEF SUB locals, shared names, and scope failure.	DEF SUB;LOCAL;scope
loan.bas	Console algorithms and language features		Console Loan Calculator	Console loan calculator with first-year amortization table.	INPUT;DEF FN;formatted output
matrix.bas	Console algorithms and language features		Matrix Operations	Inverts, transposes, multiplies, and prints a matrix.	MAT INV;MAT TRN;DET
nqueens.bas	Console algorithms and language features		N-Queens	Backtracking solves and prints a sixteen-queen board.	backtracking;arrays;formatted output
nr-factorial.bas	Console algorithms and language features		Block Factorial	Computes 100 factorial using nine-digit integer blocks.	arbitrary precision;arrays;PRINT USING
palette.bas	Console algorithms and language features		Named Color Table	Lists named colors and their packed RGB values.	RGB;HEX$;DATA
pimachin.bas	Console algorithms and language features		Machin Pi	GOSUB-based Machin algorithm computes 1,000 pi digits.	arbitrary precision;GOSUB;Machin formula
pimachin-modern.bas	Console algorithms and language features	20	Modern Machin Pi	Compute 1,000 digits of π with block arithmetic and structured, modern BASIC.	DEF SUB;LOCAL;arbitrary precision
powermul.bas	Console algorithms and language features		Arbitrary-Precision Powers	Computes arbitrary-precision integer powers by block multiplication.	DEF SUB;block multiplication;PRINT USING
